Strasse;Bemerkung;Bezirk
Bertolt-Brecht-Straße;;4
Bertolt-Brecht-Straße;;G
Berzdorfer Straße;;6
Berzdorfer Straße;;L
Bettina-von-Arnim-Straße;;4
Bettina-von-Arnim-Straße;;G
Bitterfelder Straße;;2
Bitterfelder Straße;;D
Böningergasse;;5
Böningergasse;;K
Bonnstraße;von Stern bis Otto-Wels-Straße;4
Bonnstraße;von Stern bis Otto-Wels-Straße;H
Bonnstraße;von Otto-Wels-Straße bis Ende;8
Bonnstraße;von Otto-Wels-Straße bis Ende;P
Bootsweg;;1
Bootsweg;;A
Brauweilerweg;;2
Brauweilerweg;;C
Bremer Straße;;6
Bremer Straße;;L
Breslauer Straße;;2
Breslauer Straße;;D
Brückenstraße;;2
Brückenstraße;;C
Buchenweg;;7
Buchenweg;;N
Jordanstraße;;6
Jordanstraße;;L
Josefstraße;;5
Josefstraße;;K
Josef-Burfeid-Weg;;8
Josef-Burfeid-Weg;;P
Josef-Flohr-Weg;;4
Josef-Flohr-Weg;;H
Josef-von-Görres-Straße;;5
Josef-von-Görres-Straße;;J
Joseph-Hürten-Straße;;4
Joseph-Hürten-Straße;;G
Jülichsgasse;;8
Jülichsgasse;;R
Junkersdorfer Weg;;2
Junkersdorfer Weg;;C
Kämperpfad;;7
Kämperpfad;;N
Kaiserstraße;von Kölnstraße bis Römerstraße;5
Kaiserstraße;von Kölnstraße bis Römerstraße;J
Kapellenweg;;1
Kapellenweg;;B
Kastanienweg;;7
Kastanienweg;;N
Kempishofstraße;;5
Kempishofstraße;;K
Kentenichstraße;;5
Kentenichstraße;;K
Kierberger Straße;;2
Kierberger Straße;;D
Kirchgasse;;7
Kirchgasse;;O
Kirchstraße;;5
Kirchstraße;;K
Kirchweg;;8
Kirchweg;;R
Kleiststraße;;4
Kleiststraße;;H
Kloster Benden;;1
Kloster Benden;;A
Klosterstraße;;1
Klosterstraße;;A
Knappschaftsstraße;;1
Knappschaftsstraße;;B
Kölnstraße;von Markt bis Kaiserstraße;5
Kölnstraße;von Markt bis Kaiserstraße;K
Kölnstraße;von Kaiserstraße bis Bergerstraße;6
Kölnstraße;von Kaiserstraße bis Bergerstraße;L
Königsberger Straße;;2
Königsberger Straße;;D
Königsdorfer Weg;;2
Königsdorfer Weg;;C
Königstraße;;6
Königstraße;;L
Kolpingplatz;;5
Kolpingplatz;;J
Kreuzhof;;3
Kreuzhof;;F
Kuhgasse;;8
Kuhgasse;;R
Kunibertweg;;8
Kunibertweg;;P
Kurfürstenstraße;;6
Kurfürstenstraße;;L
Langenackerstraße;;6
Langenackerstraße;;L
Franz-von-Kesseler-Straße;;1
Franz-von-Kesseler-Straße;;B
Frechener Straße;;2
Frechener Straße;;C
Fredenbruch;;1
Fredenbruch;;B
Freiheitstraße;;1
Freiheitstraße;;A
Freiherr-vom-Stein-Straße;;5
Freiherr-vom-Stein-Straße;;J
Friederikeweg;;1
Friederikeweg;;A
Friedrich-Ebert-Straße;;1
Friedrich-Ebert-Straße;;B
Friedrichstraße;;5
Friedrichstraße;;J
Fritz-Wündisch-Straße;;4
Fritz-Wündisch-Straße;;G
Fronhofweg;;2
Fronhofweg;;C
Fuchsstraße;;8
Fuchsstraße;;P
Gabriele-Münter-Weg;;6
Gabriele-Münter-Weg;;M
Gartenstraße;;5
Gartenstraße;;K
Gebrüder-Grimm-Straße;;4
Gebrüder-Grimm-Straße;;G
Geildorfer Bach;;8
Geildorfer Bach;;R
Geildorfer Straße;;8
Geildorfer Straße;;R
Georg-Grosser-Straße;;5
Georg-Grosser-Straße;;J
Georg-Sandmann-Straße;;4
Georg-Sandmann-Straße;;H
Gertrudenstraße;;6
Gertrudenstraße;;L
Ginsterhang;;3
Ginsterhang;;E
Gleueler Weg;;6
Gleueler Weg;;L
Glizmudisstraße;;8
Glizmudisstraße;;R
Godorfer Straße;;6
Godorfer Straße;;L
Goethestraße;;4
Goethestraße;;H
Gottfried-Keller-Straße;;4
Gottfried-Keller-Straße;;G
Grubenstraße;;1
Grubenstraße;;A
Gruhlstraße;;1
Gruhlstraße;;A
Grünebergstraße;;3
Grünebergstraße;;F
Grüner Weg;;8
Grüner Weg;;R
Günter-Krüger-Straße;;8
Günter-Krüger-Straße;;R
Gustav-Wegge-Straße;;1
Gustav-Wegge-Straße;;A
Härriskuhl;;1
Härriskuhl;;A
Hainbuchenweg;;3
Hainbuchenweg;;E
Halfenweg;;8
Halfenweg;;R
Hamburger Straße;;6
Hamburger Straße;;L
Hannah-Arendt-Straße;;6
Hannah-Arendt-Straße;;M
Am Krausen Baum;;3
Am Krausen Baum;;E
Am Kreuz;;2
Am Kreuz;;C
Am Kuttenbusch;;7
Am Kuttenbusch;;N
Am Michelshof;;8
Am Michelshof;;R
Am Mühlenhof;;1
Am Mühlenhof;;B
Am Pappelbusch;;3
Am Pappelbusch;;E
Am Pastorsgarten;;8
Am Pastorsgarten;;R
Am Petershof;;8
Am Petershof;;R
Am Rankewerk;;6
Am Rankewerk;;M
Am Rheindorfer Bach;;8
Am Rheindorfer Bach;;P
Am Ringofen;;3
Am Ringofen;;F
Am Römerkanal;;3
Am Römerkanal;;F
Am Rolfsacker;;3
Am Rolfsacker;;E
Am Rott;;7
Am Rott;;N
Am Siegesbach;;1
Am Siegesbach;;A
Am Strauchshof;;8
Am Strauchshof;;P
AM Volkspark;;6
AM Volkspark;;L
An der alten Brauerei;;4
An der alten Brauerei;;H
An der alten Zuckerfabrik;;6
An der alten Zuckerfabrik;;M
An der Bleiche;;5
An der Bleiche;;K
An der Brücke;;1
An der Brücke;;B
An der Hohlen Gasse;;8
An der Hohlen Gasse;;P
An der Kapelle;;8
An der Kapelle;;R
An der Linde;;2
An der Linde;;C
An der Schallenburg;;8
An der Schallenburg;;P
An der Synagoge;;5
An der Synagoge;;K
An der Ziegelei;;3
An der Ziegelei;;F
An Haus Vendel;;3
An Haus Vendel;;F
An Hornsgarten;von Alte Bonn Straße bis BAB;8
An Hornsgarten;von Alte Bonn Straße bis BAB;R
An Hornsgarten;von BAB bis Bonnstraße;8
An Hornsgarten;von BAB bis Bonnstraße;P
An Maria Glück;;3
An Maria Glück;;F
An Schloss Falkenlust;;6
An Schloss Falkenlust;;M
Andreaskirchplatz;;2
Andreaskirchplatz;;D
Anna-Schmitz-Straße;;6
Anna-Schmitz-Straße;;M
Anna-Seghers-Straße;;4
Anna-Seghers-Straße;;G
Anne-Frank-Straße;;4
Anne-Frank-Straße;;G
Anton-Ockenfels-Straße;;7
Anton-Ockenfels-Straße;;N
Arminiusweg;;3
Arminiusweg;;F
Arndtstraße;;5
Arndtstraße;;J
Auf dem Gallberg;;7
Auf dem Gallberg;;N
Burgpfad;;7
Burgpfad;;O
Burgstraße;;5
Burgstraße;;K
Buschgasse;;7
Buschgasse;;O
Cäcilienstraße;;6
Cäcilienstraße;;L
Carl-Schurz-Straße;;5
Carl-Schurz-Straße;;K
Caspar-Markard-Straße;;8
Caspar-Markard-Straße;;R
Chlodwigstraße;;3
Chlodwigstraße;;E
Clemens-August-Straße;;4
Clemens-August-Straße;;H
Comesstraße;;6
Comesstraße;;L
Cottbuser Weg;;2
Cottbuser Weg;;D
Daberger Höhe;;1
Daberger Höhe;;A
Daberger Weg;;1
Daberger Weg;;A
Danziger Straße;;2
Danziger Straße;;D
Donatusstraße;;3
Donatusstraße;;F
Drachenfelsstraße;;3
Drachenfelsstraße;;F
Dreichtenweg;;8
Dreichtenweg;;P
Dresdener Straße;;2
Dresdener Straße;;D
Eckdorfer Mühlenweg;;8
Eckdorfer Mühlenweg;;R
Eckdorfer Straße;;8
Eckdorfer Straße;;R
Edelgasse;;7
Edelgasse;;O
Eibenweg;;3
Eibenweg;;E
Eichendorffstraße;;4
Eichendorffstraße;;H
Eichweg;;4
Eichweg;;G
Eifelstraße;;7
Eifelstraße;;O
Elisabethstraße;;6
Elisabethstraße;;M
Elsterpfad;;1
Elsterpfad;;B
Engeldorfer Straße;;6
Engeldorfer Straße;;L
Erich-Kästner-Straße;;4
Erich-Kästner-Straße;;G
Erlengrund;;3
Erlengrund;;E
Euskirchener Straße;;7
Euskirchener Straße;;O
Ferdinand-Krausen-Weg;;7
Ferdinand-Krausen-Weg;;N
Fischenicher Straße;;6
Fischenicher Straße;;L
Fischmarkt;;5
Fischmarkt;;K
Flechtenweg;;8
Flechtenweg;;P
Frankenstraße;;3
Frankenstraße;;E
Franziskanerhof;;5
Franziskanerhof;;K
Franzstraße;;6
Franzstraße;;L
Hauptstraße;;2
Hauptstraße;;C
Hedwig-Gries-Straße;;6
Hedwig-Gries-Straße;;M
Heider Bergsee;;1
Heider Bergsee;;A
Heinestraße;;4
Heinestraße;;H
Heinrich-Esser-Straße;;5
Heinrich-Esser-Straße;;J
Heinrich-Fetten-Platz;;5
Heinrich-Fetten-Platz;;K
Heinrich-Kreutzberg-Straße;;1
Heinrich-Kreutzberg-Straße;;A
Heinrich-Lierz-Straße;;8
Heinrich-Lierz-Straße;;R
Heinrich-Spoerl-Straße;;4
Heinrich-Spoerl-Straße;;G
Helma-Meyers-Straße;;6
Helma-Meyers-Straße;;M
Hennersweg;;1
Hennersweg;;A
Hermann-Faßbender-Straße;;8
Hermann-Faßbender-Straße;;P
Hermann-Gruhl-Straße;;1
Hermann-Gruhl-Straße;;A
Hermann-Löns-Straße;;5
Hermann-Löns-Straße;;J
Hermannstraße;;5
Hermannstraße;;K
Hermülheimer Straße;;6
Hermülheimer Straße;;L
Herseler Straße;;4
Herseler Straße;;G
Himmelreich;;1
Himmelreich;;A
Hochstraße;;1
Hochstraße;;A
Höhenweg;;1
Höhenweg;;A
Hommelsheimstraße;;8
Hommelsheimstraße;;P
Hospitalstraße;;5
Hospitalstraße;;K
Hubert-Geuer-Straße;;4
Hubert-Geuer-Straße;;H
Hubertusstraße;;5
Hubertusstraße;;J
Hüllenweg;;7
Hüllenweg;;O
Hürther Straße;;2
Hürther Straße;;C
Ida-Ehre-Weg;;6
Ida-Ehre-Weg;;M
Im Bungarten;;3
Im Bungarten;;F
Im Klostergarten;;1
Im Klostergarten;;A
Im Mühlengrund;;1
Im Mühlengrund;;B
Im Paradies;;8
Im Paradies;;R
Im Sonntagsgarten;;2
Im Sonntagsgarten;;C
Im Vogelsang;;7
Im Vogelsang;;N
Immendorfer Straße;;6
Immendorfer Straße;;L
In der Maar;;4
In der Maar;;H
Irmgard-Keun-Weg;;6
Irmgard-Keun-Weg;;M
Jakob-Sonntag-Straße;;8
Jakob-Sonntag-Straße;;R
Janshof;;5
Janshof;;K
Janshofpassage;;5
Janshofpassage;;K
Laurentiusweg;;8
Laurentiusweg;;P
Leipziger Straße;;2
Leipziger Straße;;D
Lennéstraße;;4
Lennéstraße;;H
Lenterbachsweg;;7
Lenterbachsweg;;N
Lessingstraße;;4
Lessingstraße;;H
Letterhausstraße;;1
Letterhausstraße;;A
Liblarer Straße;von Römerstraße bis Wasserturm;3
Liblarer Straße;von Römerstraße bis Wasserturm;F
Liblarer Straße;von Römerstraße bis Uhlstraße;4
Liblarer Straße;von Römerstraße bis Uhlstraße;H
Lida-Gustava-Heymann-Straße;;6
Lida-Gustava-Heymann-Straße;;M
Lindenhof;;6
Lindenhof;;L
Lindenstraße;;8
Lindenstraße;;P
Lise-Meitner-Straße;;6
Lise-Meitner-Straße;;M
Lövenicher Straße;;2
Lövenicher Straße;;C
Löwenburgstraße;;3
Löwenburgstraße;;F
Lohmühle;;1
Lohmühle;;B
Lohrbergstraße;;3
Lohrbergstraße;;F
Louise-Straus-Straße;;4
Louise-Straus-Straße;;G
Lucretiaweg;;7
Lucretiaweg;;N
Ludwig-Jahn-Straße;;5
Ludwig-Jahn-Straße;;J
Ludwig-Uhland-Straße;;6
Ludwig-Uhland-Straße;;L
Luisenstraße;;5
Luisenstraße;;J
Lupinenweg;;3
Lupinenweg;;E
Maiglerstraße;;7
Maiglerstraße;;O
Maja-Lex-Weg;;6
Maja-Lex-Weg;;M
Margaretenstraße;;1
Margaretenstraße;;B
Margarete-von-Hersel-Straße;;1
Margarete-von-Hersel-Straße;;A
Marie-Curie-Straße;;6
Marie-Curie-Straße;;M
Marienstraße;;1
Marienstraße;;A
Marie-Schlei-Straße;;6
Marie-Schlei-Straße;;M
Markt;;5
Markt;;K
Mascha-Kaleko-Straße;;4
Mascha-Kaleko-Straße;;G
Matthäusstraße;;2
Matthäusstraße;;C
Max-Ernst-Allee;;6
Max-Ernst-Allee;;L
Maximilian-Franz-Straße;;3
Maximilian-Franz-Straße;;F
Mayersweg;;5
Mayersweg;;K
Merricher Straße;;3
Merricher Straße;;F
Merseburger Straße;;2
Merseburger Straße;;D
Mertener Straße;;4
Mertener Straße;;H
Metzenmacherweg;;7
Metzenmacherweg;;N
Mittelstraße;;8
Mittelstraße;;P
Mönengasse;;7
Mönengasse;;N
Mühlenbach;;1
Mühlenbach;;B
Mühlenberg;;1
Mühlenberg;;B
Mühlenstraße;;5
Mühlenstraße;;K
Neue Bohle;;3
Neue Bohle;;F
Neue Königstraße;;5
Neue Königstraße;;J
Niklaus-Ehlen-Straße;;2
Niklaus-Ehlen-Straße;;C
Nußbaumweg;;7
Nußbaumweg;;N
Obermühle;;7
Obermühle;;O
Oberstraße;;8
Oberstraße;;P
Oelbergstraße;;3
Oelbergstraße;;F
Otto-Paes-Straße;;6
Otto-Paes-Straße;;M
Otto-Wels-Straße;;8
Otto-Wels-Straße;;P
Palmersdorfer Hof;;6
Palmersdorfer Hof;;M
Pantaleonstraße;;7
Pantaleonstraße;;O
Parkstraße;;6
Parkstraße;;M
Pastoratsstraße;;5
Pastoratsstraße;;K
Paul-Dahm-Straße;;2
Paul-Dahm-Straße;;C
Pehler Feldchen;;7
Pehler Feldchen;;O
Pehler Hülle;;8
Pehler Hülle;;R
Petersbergstraße;;3
Petersbergstraße;;F
Peter-Schmitter-Straße;;5
Peter-Schmitter-Straße;;J
Peterstraße;;6
Peterstraße;;M
Pfarrer-Robert-Grosche-Straße;;2
Pfarrer-Robert-Grosche-Straße;;C
Pingsdorfer Straße;;4
Pingsdorfer Straße;;G
Platanenweg;;7
Platanenweg;;N
Poststraße;;6
Poststraße;;L
Pützgasse;;7
Pützgasse;;N
Pulheimer Straße;;2
Pulheimer Straße;;C
Renault-Nissan-Straße;;6
Renault-Nissan-Straße;;L
Rheinstraße;;6
Rheinstraße;;M
Ricarda-Huch-Weg;;6
Ricarda-Huch-Weg;;M
Richard-Bertram-Straße;;5
Richard-Bertram-Straße;;J
Robertsstraße;;7
Robertsstraße;;N
Rodderweg;;3
Rodderweg;;E
Römerhof;;3
Römerhof;;E
Römerstraße;von Pingsdorfer bis Th.-Heuss-Straße;4
Römerstraße;von Pingsdorfer bis Th.-Heuss-Straße;H
Römerstraße;von Sommersberg bis Ende Vochem;2
Römerstraße;von Sommersberg bis Ende Vochem;C
Rösberger Straße;;4
Rösberger Straße;;G
Roisdorfer Straße;;4
Roisdorfer Straße;;H
Rondorfer Straße;;6
Rondorfer Straße;;L
Rosenhof;;6
Rosenhof;;M
Schiffergasse;;7
Schiffergasse;;O
Schildgesstraße;;6
Schildgesstraße;;L
Schillerstraße;;4
Schillerstraße;;H
Schlaunstraße;;5
Schlaunstraße;;J
Schloß Falkenlust;;6
Schloß Falkenlust;;M
Schloßstraße;;5
Schloßstraße;;K
Schnorrenberg;;7
Schnorrenberg;;N
Schöffenstraße;;2
Schöffenstraße;;D
Schützenstraße;;5
Schützenstraße;;K
Schulstraße;;1
Schulstraße;;B
Schultheißstraße;;2
Schultheißstraße;;D
Schwadorfer Burg;;8
Schwadorfer Burg;;P
Schwadorfer Hof;;8
Schwadorfer Hof;;P
Schwestern-Brünell-Weg;;6
Schwestern-Brünell-Weg;;M
Sechtemer Straße;;8
Sechtemer Straße;;P
Seeweg;;1
Seeweg;;A
Senecaweg;;3
Senecaweg;;F
Senftenberger Straße;;2
Senftenberger Straße;;D
Servatiusstraße;;1
Servatiusstraße;;B
Severinstraße;;8
Severinstraße;;P
Sophienstraße;;6
Sophienstraße;;L
Sophie-Scholl-Straße;;6
Sophie-Scholl-Straße;;M
Spielmannsgasse;;8
Spielmannsgasse;;R
Spremberger Weg;;2
Spremberger Weg;;D
Spürckstraße;;8
Spürckstraße;;P
St.-Albert-Straße;;2
St.-Albert-Straße;;C
Steingasse;;8
Steingasse;;R
Steinkleehang;;3
Steinkleehang;;E
Steinweg;;5
Steinweg;;K
Stephanstraße;;6
Stephanstraße;;M
Stettiner Straße;;2
Stettiner Straße;;D
Stiftstraße;;2
Stiftstraße;;D
Stommelner Weg;;2
Stommelner Weg;;C
Stotzheimer Weg;;6
Stotzheimer Weg;;L
Sürther Straße;;6
Sürther Straße;;L
Tacitusweg;;3
Tacitusweg;;F
Tafelhofstraße;;8
Tafelhofstraße;;R
Talstraße;;1
Talstraße;;B
Taunusstraße;;7
Taunusstraße;;O
Theismühle;;1
Theismühle;;B
Theodor-Körner-Straße;;5
Theodor-Körner-Straße;;J
Theodor-Storm-Straße;;4
Theodor-Storm-Straße;;G
Thüringer Platz;;2
Thüringer Platz;;D
Tiergartenstraße;;5
Tiergartenstraße;;K
Töpfergasse;;7
Töpfergasse;;O
Ubierstraße;;3
Ubierstraße;;E
Uhlstraße;von Liblarer Straße bis Stern;4
Uhlstraße;von Liblarer Straße bis Stern;H
Uhlstraße;von Stern bis Markt;5
Uhlstraße;von Stern bis Markt;K
Ulmenweg;;7
Ulmenweg;;N
Unter Birken;;7
Unter Birken;;N
Unter dem Dorf;;8
Unter dem Dorf;;P
Unter Eschen;;7
Unter Eschen;;N
Untermühle;;7
Untermühle;;O
Urfelder Straße;;4
Urfelder Straße;;G
Ursulastraße;;2
Ursulastraße;;C
Villestraße;;1
Villestraße;;A
Vochemer Straße;;1
Vochemer Straße;;B
Volkwinsweg;;1
Volkwinsweg;;A
von-Droste-Hülshoff-Straße;;4
von-Droste-Hülshoff-Straße;;G
von-Heinsberg-Straße;;3
von-Heinsberg-Straße;;F
von-Hessen-Straße;;3
von-Hessen-Straße;;F
von-Holte-Straße;;3
von-Holte-Straße;;F
von-Lupenau-Straße;;8
von-Lupenau-Straße;;R
von-Roll-Straße;;1
von-Roll-Straße;;B
von-Westerburg-Straße;;3
von-Westerburg-Straße;;F
von-Wied-Straße;;3
von-Wied-Straße;;F
Vorgebirgsstraße;;7
Vorgebirgsstraße;;O
Walberberger Straße;;4
Walberberger Straße;;H
Waldorfer Straße;;4
Waldorfer Straße;;H
Waldweg;;1
Waldweg;;B
Wallstraße;;5
Wallstraße;;K
Wasserturmweg;;3
Wasserturmweg;;F
Wehrbachsweg;;7
Wehrbachsweg;;O
Weiherhofstraße;;8
Weiherhofstraße;;P
Weilerstraße;;2
Weilerstraße;;C
Weißer Straße;;6
Weißer Straße;;M
Wesselinger Straße;;6
Wesselinger Straße;;M
Weyhestraße;;4
Weyhestraße;;H
Wilhelm-Busch-Straße;;4
Wilhelm-Busch-Straße;;G
Wilhelm-Kamm-Straße;;5
Wilhelm-Kamm-Straße;;J
Wilhelmstraße;;6
Wilhelmstraße;;L
Will-Küpper-Straße;;6
Will-Küpper-Straße;;L
Willy-Brandt-Straße;;3
Willy-Brandt-Straße;;E
Wingertsberg;;8
Wingertsberg;;R
Winterburg;;1
Winterburg;;B
Wittelsbacher Straße;;3
Wittelsbacher Straße;;F
Wolfsgasse;;8
Wolfsgasse;;R
Wolkenburgstraße;;3
Wolkenburgstraße;;F
Xavier-Kürten-Weg;;5
Xavier-Kürten-Weg;;K
Ziegelweg;;3
Ziegelweg;;F
Zum Donnerbach;;3
Zum Donnerbach;;E
Zum Herrengarten;;2
Zum Herrengarten;;C
Zum Rodderbruch;;3
Zum Rodderbruch;;E
Zum Sommersberg;;2
Zum Sommersberg;;D
Zur Gabjei;;3
Zur Gabjei;;E
